,Magnitude,Repute,Summary
Rs187238(C;G),1.8,Good,hypertension not a risk factor for sudden cardiac death
Rs1975197(C;T),1.5,Bad,1.3x increased risk of developing restless legs syndrome
Rs1975197(T;T),2,Bad,>1.3x increased risk of developing restless legs syndrome
Rs2004640(G;G),0.1,Good,normal; 0.9x decreased risk for rheumatoid arthritis
Rs2004640(G;T),2.2,Bad,1.4x increased risk for SLE
Rs2004640(T;T),2.5,Bad,1.4x increased risk for SLE
Rs2011077(A;A),1,Good,"Normal risk of developing prostate cancer, BPH, and metastatic prostate cancer"
Rs2011077(G;G),3,Bad,"In Japanese, 6.2x increased risk of developing prostate cancer, a 3x increased risk of developing BPH, and a 5.5x increased risk of developing metastatic prostate cancer"
Rs2032582(T;T),1.5,Bad,4x higher risk for lung cancer
Rs2032597(A;A),0,Good,M170-
Rs2046210(C;T),1.4,Bad,1.4x increased breast cancer risk
Rs2046210(T;T),1.6,Bad,1.6x increased breast cancer risk in certain women
Rs2056116(A;G),1.2,Bad,1.18x risk for breast cancer
Rs2059693(C;T),1.3,Bad,1.3x increased risk for testicular cancer
Rs2059693(T;T),1.6,Bad,1.6x increased risk for testicular cancer
Rs2070600(A;A),2,Bad,2x higher retinopathy risk in diabetics; 1.5x increased overall risk for gastric cancer
Rs2070600(A;G),2,Bad,1.5x increased risk for gastric cancer
Rs2070672(G;G),2,Bad,CYP2E1*7_-352A>G homozygote
Rs2070676(G;G),2,Bad,CYP2E1*1B homozygote
Rs2070744(C;C),0.1,Bad,increased prostate cancer risk
Rs2075650(A;G),2,Bad,possibly 2x higher Alzheimer's risk
Rs2075650(G;G),2,Bad,possibly 4x higher Alzheimer's risk
Rs2104286(A;A),0,Bad,1.7x risk for RA; 1.6X for T1D; also MS?
Rs2104286(G;G),1.4,Good,"protective minor allele, slightly reducing risk for MS & RA"
Rs2107301(T;T),3,Bad,2.5x higher risk for prostate cancer
Rs2145418(G;G),2.5,Bad,9.2x increased thyroid cancer risk
Rs2145418(G;T),2.2,Bad,5.0x increased thyroid cancer risk
Rs2156921(G;G),2,Bad,1.29x increased risk for depression
Rs2156921(A;G),2,Bad,1.29x increased risk for depression
Rs2177369(C;C),1.5,Bad,1.5x increased risk for Alzheimer's disease
Rs2187668(A;A),3,Bad,"Autoimmune disorder risk (lupus, celiac disease) due to 2 HLA-DRB1*0301 alleles"
Rs2187668(A;G),2.1,Bad,"Somewhat increased autoimmune disorder (lupus, celiac disease) risk; 1 HLA-DRB1*0301 allele"
Rs2201841(C;C),2,Bad,1.5x increased risk for Crohn's disease
Rs2201841(C;T),2,Bad,1.5x increased risk for Crohn's disease; 2x increased risk for Graves' disease
Rs2228000(T;T),1,Bad,"statistically significant, but slight, increase in bladder cancer risk"
Rs2229616(A;A),2.1,Good,lower risk of metabolic syndrome
Rs2229616(A;G),2,Good,lower risk of metabolic syndrome
Rs2230199(C;G),2,Bad,1.6x+ risk of ARMD
Rs2230201(G;G),2,Bad,>1.4x risk of lupus
Rs2230201(A;G),1.4,Bad,1.4x risk of lupus
Rs2231137(A;A),1.5,Good,Slightly lower stroke risk
Rs2231137(A;G),1.5,Good,Slightly lower stroke risk
Rs2231137(G;G),1.5,Bad,"Most common genotype, with slightly higher stroke risk"
Rs2231142(A;C),2.1,Bad,1.74x increased gout risk; gefinitib takers 4x more susceptible to diarrhea
Rs2235040(A;A),1.1,Good,possibly higher chances of remission only for inpatients on certain antidepressants
Rs2235040(A;G),1.1,Good,possibly higher chances of remission only for inpatients on certain antidepressants
Rs2240340(A;A),1.5,Bad,slightly increased (1.5x) risk for RA
Rs2240340(A;G),1.5,Bad,slightly increased (1.5x) risk for RA
Rs2241766(G;T),2,Good,Slightly lower risk of breast cancer
Rs2243250(C;T),2,Good,0.6x decreased risk for myocardial infarction if younger than 50
Rs2243250(T;T),2,Good,0.33x decreased risk for myocardial infarction if younger than 50
Rs2254958(C;C),1.5,Bad,"1.61x reported increased risk for Alzheimer's; however, see comments on main rs-page"
Rs2267013(A;G),1.1,Bad,1.3x increased risk for depression
Rs2267013(G;G),1.2,Bad,1.3x increased risk for depression
Rs2269475(A;A),1.8,Bad,increased rheumatoid arthritis risk
Rs2270641(G;G),2.1,Bad,3.7x higher risk for schizophrenia
Rs2273535(A;T),2,Bad,slightly higher (~1.5x or less) risk for certain cancers
Rs2278206(C;C),1.6,Good,possibly less susceptible to asthma
Rs2278206(T;T),1.8,Bad,1.16x increased risk for asthma
Rs2279744(G;T),2,Bad,Slightly more cancer prone; common
Rs2280714(A;G),1.5,Bad,1.4x increased risk of SLE
Rs2280714(G;G),1,Good,Normal risk of SLE
Rs2295490(A;G),1.3,Bad,1.32x increased risk of early-onset type-2 diabetes
Rs2295490(G;G),1.3,Bad,1.32x increased risk of early-onset type-2 diabetes
Rs2300478(G;G),2,Bad,>1.7x risk for developing restless legs syndrome
Rs2300478(G;T),1.5,Bad,1.7x risk for developing restless legs syndrome
Rs2302009(G;G),1.2,Bad,4.6x risk of eosinophilic esophagitis
Rs2304256(C;C),0.1,Bad,1.6x increased risk for SLE
Rs2305480(C;T),2,Bad,3.5x increase in risk of asthma for Han Chinese
Rs2306402(C;C),2.1,Bad,1.18x increased risk for late-onset Alzheimer's disease
Rs2306402(C;T),2,Bad,1.18x increased risk for late-onset Alzheimer's disease
Rs2395029(G;T),3.2,Bad,HLA-B*5701 carrier most likely (if Caucasian or Hispanic)
Rs241448(C;T),2,Bad,1.51x increased risk for Alzheimer's
Rs2420946(T;T),2.1,Bad,1.64x risk for breast cancer
Rs2420946(C;T),2,Bad,1.20x risk for breast cancer
Rs242941(G;G),0,Good,better response to inhaled corticosteroid in patients with COPD
Rs2435357(A;A),1,Bad,slightly higher (2x?) risk for Hirschsprung disease
Rs2515641(T;T),2,Bad,CYP2E1_10463T>C(F421F) homozygote
Rs2542151(G;G),2,Bad,2x risk for Crohn's; 1.6x for T1D
Rs2542151(G;T),1.3,Bad,1.3x risk for Crohn's; 1.3x for T1D
Rs25487(A;A),2,Good,0.7x lower risk for skin cancer
Rs25487(A;G),2,Bad,2x higher risk for skin cancer; possibly other cancers
Rs25487(G;G),2,Bad,2x higher risk for skin cancer; possibly other cancers
Rs2572886(A;G),2,Bad,1.4x increased risk of HIV infection
Rs2572886(A;A),2.1,Bad,1.4x increased risk of HIV infection
Rs2653349(G;G),1.1,Bad,2-6x increased risk for cluster headaches
Rs266729(C;G),1.8,Good,0.73x decreased risk for colorectal cancer
Rs266729(G;G),2,Good,0.73x decreased risk for colorectal cancer
Rs268(A;G),2,Bad,3X increased risk for venous thromboembolism
Rs27072(C;C),2,Bad,2x risk of severe alcohol withdrawal. Possible increased odds of ADHD.
Rs27388(A;A),2,Bad,Increased risk of developing schizophrenia
Rs2802292(G;T),2,Good,One copy of a longevity gene. Slightly increased lifespan.
Rs2802292(T;T),2.5,Bad,Less likely to live to 100.
Rs2811712(G;G),2.1,Good,>1.5x less risk for physical impairment with age.
Rs2811712(A;G),2,Good,1.5x less risk for physical impairment with age.
Rs2814707(A;A),1.2,Bad,>1.2x increased risk for ALS
Rs2814707(A;G),1.2,Bad,1.2x increased risk for ALS
Rs2814778(A;G),1,Good,Duffy-positive
Rs2814778(G;G),1,Good,"Duffy-negative, Fy(a-b-) phenotype; resistance to malaria;, increased odds of HIV infection upon exposure, but slowed disease progression if infected"
Rs283413(G;T),2.2,Bad,3x higher risk for PD
Rs28371685(T;T),2.5,Bad,CYP2C9*11 homozygote
Rs28371686(G;G),2.5,Bad,CYP2C9*5 homozygote
Rs2837960(G;G),2.3,Bad,2.3x rheumatoid arthritis risk
Rs28694718(A;A),1.5,Bad,>2x higher risk for schizophrenia
Rs28694718(A;G),1.5,Bad,2x higher risk for schizophrenia
Rs2881766(G;T),1.5,Bad,Slightly increased risk for pregnancy-induced hypertension
Rs2881766(T;T),1.5,Bad,Slightly increased risk for pregnancy-induced hypertension
Rs28897672(G;T),6,Bad,considered a pathogenic BRCA1 breast cancer variant
Rs28897696(A;C),6,Bad,BRCA1 variant reported to be pathogenic for breast cancer
Rs28897756(A;G),6,Bad,considered a causal BRCA2 mutation for breast cancer
Rs28940870(A;A),4,Bad,type II hereditary angioedema
Rs28940870(A;C),4.1,Bad,"Hereditary angioedema, type II"
Rs28942079(A;G),5,Bad,Familial Hypercholesterolemia
Rs2981582(C;T),3,Bad,1.3x higher risk of ER+ breast cancer
Rs2981582(T;T),3.2,Bad,1.7x higher risk of ER+ breast cancer
Rs30187(C;T),1.5,Bad,1.4x higher risk for Ankylosing Spondylitis.
Rs30187(T;T),2,Bad,2x higher risk for Ankylosing Spondylitis.
Rs3025786(C;C),1.6,Good,slightly decreased Alzheimer's disease risk among ApoE4 carriers
Rs3025786(C;T),1.6,Good,slightly decreased Alzheimer's disease risk among ApoE4 carriers
Rs3087243(G;G),1.5,Bad,Increased risk for autoimmune diseases
Rs3095870(A;G),0.1,Bad,1.7x increased risk for SLE (lupus)
Rs312481(C;C),0,Good,better response to certain calcium channel blockers
Rs3129934(T;T),2.2,Bad,3.3x increased risk for multiple sclerosis
Rs3176336(T;T),1.2,Bad,Slightly higher (1.25x) higher risk for breast cancer
Rs3184504(C;T),1.4,Bad,Slightly increased risk for celiac disease
Rs3184504(T;T),1.5,Bad,slightly (1.4x) increased risk for celiac disease
Rs3194051(A;G),1,Bad,1.12x risk of type-1 diabetes
Rs3212227(A;A),1.5,Bad,1.43x increased risk of developing psoriasis and psoriatic arthritis
Rs3212227(A;C),2,Bad,Significantly increased risk of developing cervical cancer
Rs3212227(C;C),2,Bad,Significantly increased risk of developing cervical cancer
Rs3218005(G;G),1.5,Bad,Slightly higher (1.55x) risk for breast cancer
Rs3218536(A;A),2,Good,"lower risk for breast, ovarian cancer"
Rs3218536(A;G),2,Good,"lower risk for breast, ovarian cancer"
Rs333(-;-),4,Good,very resistant to HIV
Rs33950507(A;A),4.5,Bad,reduction in malarial risk; mild anemia
Rs34210653(T;T),2,Good,Reduced risk for nasal polyps and chronic sinusitis
Rs34330(C;T),1.3,Bad,1.3x higher risk for endometrial cancer (in Chinese women)
Rs34330(T;T),1.3,Bad,1.2x higher breast cancer risk; 1.3x higher risk for endometrial cancer (in Chinese women)
Rs34516635(G;G),1.1,Bad,Less longevity for Ashkenazi Jewish women.
Rs34516635(A;G),1.5,Good,Possibly increased longevity for Ashkenazi Jewish women.
Rs34516635(A;A),1.5,Good,Possibly increased longevity for Ashkenazi Jewish women.
Rs35095275(A;A),6,Bad,"risk allele, but prone to genotyping confusion"
Rs351855(C;T),2,Bad,1.2x increased risk for prostate cancer
Rs35600288(-;-),0,Good,effects of higher bilirubin; irinotecan toxicity
Rs358806(A;A),1,Good,Normal risk of developing Type-2 diabetes
Rs358806(A;C),1.5,Bad,0.86x increased risk of developing Type-2 diabetes
Rs3731239(C;T),0,Good,?
Rs3736228(C;T),1.3,Bad,increased risk for osteoporosis
Rs3736228(T;T),1.7,Bad,increased risk for osteoporosis
Rs3736309(A;G),2,Good,0.44x decreased risk for chronic obstructive pulmonary lung disease
Rs3736309(G;G),2,Good,0.44x decreased risk for chronic obstructive pulmonary lung disease
Rs3738579(C;C),1.1,Bad,"0.6x decreased risk for cervical cancer, but 1.4x increased risk for HNSCC and 1.8x increased risk for breast cancer (reported in 2008)"
Rs3738579(C;T),1.1,Good,"0.5x decreased risk for cervical cancer, HNSCC, and breast cancer (reported in 2008)"
Rs3738579(T;T),1.1,Bad,"1.5x - 2x increased risk for cervical cancer, HNSCC, and breast cancer (reported in 2008)"
Rs3738919(C;C),2.5,Bad,1.94x risk of developing rheumatoid arthritis
Rs3738919(A;C),2,Bad,1.94x risk of developing rheumatoid arthritis
Rs3746444(C;C),2.1,Bad,~1.2x increased risk for cancer
Rs3746444(C;T),2,Bad,~1.2x increased risk for cancer
Rs3746444(T;T),2.1,Good,decreased cancer risk
Rs3748079(G;G),0.1,Bad,1.9x increased risk for SLE (lupus)
Rs3750817(C;T),2,Good,0.78x reduced risk for breast cancer
Rs3750817(T;T),2.4,Good,"0.64x reduced risk for breast cancer, and higher likelihood of favorable postmenopausal hormone therapy"
Rs3754777(A;A),1.5,Bad,slightly higher blood pressure if Caucasian
Rs3758391(C;T),2,Good,Less mental decline with age.
Rs3758391(T;T),2.4,Good,Increased longevity. Less mental decline with age.
Rs3761847(A;G),2.1,Bad,1.32 x risk of rheumatoid arthritis.
Rs3761847(G;G),2.2,Bad,>1.32 x risk of rheumatoid arthritis
Rs3782179(C;T),2,Good,3x lower odds of testicular cancer risk for men
Rs3784709(C;T),1.5,Good,0.71x risk of developing restless legs syndrome
Rs3784709(T;T),1.8,Good,>0.71x risk of developing restless legs syndrome
Rs3793784(C;G),2,Bad,1.5x risk for ARMD
Rs3798220(C;C),2.6,Bad,"2-3x higher risk for cardiovascular events, which can be lowered by aspirin"
Rs3798220(C;T),2.3,Bad,"2-3x higher risk for cardiovascular events, which can be lowered by aspirin"
Rs3802842(A;C),1.17,Bad,1.17x increased risk of colorectal cancer
Rs3802842(C;C),2,Bad,>1.17x increased risk of colorectal cancer
Rs3807153(C;T),1,Good,carrier of a benign change
Rs3813929(C;C),0,Bad,possible weight gain if taking olanzapine
Rs3814113(C;C),1.8,Good,0.8x decreased risk for ovarian cancer
Rs3814113(C;T),1.8,Good,0.8x decreased risk for ovarian cancer
Rs3814570(C;C),1,Good,Normal risk of developing Crohn's disease
Rs3814570(C;T),1.5,Bad,1.3x increased risk for Crohn's disease with ileal involvement
Rs3814570(T;T),1.5,Bad,1.3x increased risk for Crohn's disease with ileal involvement
Rs3825776(A;G),1.5,Bad,1.3x increased risk for ALS
Rs3825776(G;G),2,Bad,>1.3x increased risk for ALS
Rs3843763(C;C),1.6,Good,"Normal (higher) HDL ""Good"" Cholesterol."
Rs3843763(C;T),1.5,Bad,"Slightly lower HDL (""Good"") Cholesterol."
Rs3843763(T;T),1.9,Bad,"Slightly lower HDL (""Good"") Cholesterol."
Rs3849942(A;A),1.4,Bad,1.4x increased risk for ALS
Rs3849942(A;G),1.2,Bad,1.2x increased risk for ALS
Rs3851179(A;A),1.5,Good,0.85x decreased risk for Alzheimer's disease
Rs3851179(A;G),1.5,Good,0.85x decreased risk for Alzheimer's disease
Rs3892097(G;G),0,Good,extensive metabolizer
Rs3923809(A;G),1.5,Bad,Slightly increased risk of developing restless legs syndrome
Rs3923809(G;G),1,Good,Normal risk of developing restless legs syndrome
Rs396991(T;T),0,Good,complex; generally greater risk for cancer progression
Rs401681(C;C),1.5,Bad,~1.2x increased risk for several types of cancer
Rs401681(C;T),1.5,Bad,~1.2x increased risk for several types of cancer
Rs4027132(A;A),2,Bad,1.51x increased risk of developing bipolar disorder
Rs4027132(A;G),1.5,Bad,1.39x increased risk of developing bipolar disorder
Rs403016(C;G),2,Bad,2x risk for lupus
Rs403016(G;G),2,Bad,2x risk for lupus
Rs41293455(C;T),6,Bad,BRCA1 variant considered pathogenic for breast cancer
Rs41293463(G;G),6,Bad,BRCA1 variant considered pathogenic for breast cancer
Rs41293463(G;T),6,Bad,BRCA1 variant considered pathogenic for breast cancer
Rs4148739(G;G),1,Good,"possibly, inpatients more likely to remit on certain antidepressants"
Rs4148739(A;G),1,Good,"possibly, inpatients more likely to remit on certain antidepressants"
Rs419788(A;A),1.5,Bad,2.3x risk for lupus
Rs419788(A;G),1.2,Bad,2.0x risk for lupus
Rs420259(T;T),1.5,Bad,Normal risk of Bipolar Disorder.
Rs420259(C;C),1.9,Good,Half the risk of developing Bipolar Disorder.
Rs4242382(A;A),2,Bad,1.7x increased risk for prostate cancer
Rs4242382(A;G),2,Bad,1.7x increased risk for prostate cancer
Rs4324715(C;T),1.1,Bad,1.5x increased testicular cancer risk for men
Rs4402960(G;T),2,Bad,"1.2x increased risk for type-2 diabetes, ~1x risk for gestational diabetes"
Rs4402960(T;T),2.1,Bad,"1.2x increased risk for type-2 diabetes, 1.5x risk for gestational diabetes"
Rs4420638(A;G),2,Bad,~3x increased Alzheimer's risk; 1.4x increased heart disease risk ; increased LDL cholesterol
Rs4430796(A;A),2.1,Bad,1.38x increased risk for prostate cancer
Rs4444903(G;G),2.1,Bad,3.5x risk of hep-cancer in cirrhosis patients; higher glioma risk; 3x higher gallbladder cancer risk in females
Rs4464148(C;C),2,Bad,1.35x increased risk for colorectal cancer
Rs4464148(C;T),1.5,Bad,1.10x increased risk for colorectal cancer
Rs4464148(T;T),1,Good,Normal risk for colorectal cancer
Rs4489954(T;T),1.8,Good,>0.69x risk of developing restless legs syndrome
Rs4489954(G;T),1.5,Good,0.69x risk risk of developing restless legs syndrome
Rs4506565(T;T),2,Bad,1.9x increased risk for type-2 diabetes
Rs45539432(C;T),3,Bad,Carrier of an early-onset Parkinson's mutation
Rs4626664(A;G),1.5,Bad,1.44x increased risk of developing restless legs syndrome
Rs4626664(A;A),2,Bad,>1.44x increased risk of developing restless legs syndrome
Rs4633(T;T),2,Bad,higher risk for endometrial cancer
Rs4648317(T;T),1.2,Bad,"prone to higher nicotine dependence, more impulsive/sensation seeking"
Rs4712653(C;C),1.6,Bad,Slightly (~1.6x) increased risk for neuroblastoma
Rs4712653(C;T),1.3,Bad,very slightly (~1.3x) increased risk for neuroblastoma
Rs4713902(C;C),0,Good,0.47x decreased risk for bipolar disorder
Rs4779584(T;T),2,Bad,1.70x risk for colorectal cancer
Rs4845618(G;T),1.5,Bad,1.7x increased melanoma risk
Rs486907(A;G),1.5,Bad,1.5x increased prostate cancer risk
Rs4911414(G;T),2,Bad,2-4x higher risk of sun sensitivity if part of risk haplotype
Rs4911414(T;T),2,Bad,2-4x higher risk of sun sensitivity if part of risk haplotype
Rs492602(C;T),1,Good,Normal B12 levels
Rs492602(T;T),1,Good,Normal B12 levels
Rs4939827(C;C),1,Good,0.73x decreased risk for colorectal cancer
Rs4939827(C;T),1,Good,0.86x decreased risk for colorectal cancer
Rs4961(G;T),2,Bad,1.8x increased risk for high blood pressure
Rs4968451(A;C),2,Bad,1.61x increased risk for meningioma
Rs4968451(C;C),2.1,Bad,2.33x increased risk for meningioma
Rs4988235(C;T),1.1,Good,likely to be able to digest milk as an adult
Rs4988235(T;T),1.1,Good,can digest milk
Rs4988321(A;A),1.3,Bad,slightly increased (~1.3x) risk for osteoporosis
Rs4988321(A;G),1.1,Bad,very slightly increased risk for osteoporosis
Rs501120(A;A),1.5,Bad,"common, but >1.3x increased risk for heart disease"
Rs501120(A;G),1.3,Bad,1.3x increased risk for heart disease
Rs505922(C;C),2.1,Bad,"blood type is not O, increased risk for some diseases."
Rs505922(T;T),2,Good,blood type O
Rs5065(A;A),0,Good,"1.12x risk on diuretic; if hypertensive, better outcome when treated with calcium channel blocker than with diuretic"
Rs5174(A;G),2,Bad,1.3x increased risk for heart disease
Rs5186(C;C),3.8,Bad,7.3x increased risk of hypertension
Rs5186(A;C),2.1,Bad,~1.4x increased risk of hypertension
Rs520354(A;G),2,Bad,increased risk in men for biliary conditions
Rs520354(A;A),2,Bad,increased risk in men for biliary conditions
Rs5352(A;G),2.2,Bad,probably Hirschsprung disease carrier
Rs5370(G;T),1.2,Bad,possibly lower HDL cholesterol in women
Rs5443(C;T),2.1,Bad,some risk
Rs5443(T;T),2.4,Bad,viagra is more likely to have an effect. increased metabolic disease risk.
Rs5746059(A;A),1.5,Bad,Slightly higher fat mass
Rs5746059(A;G),1.5,Bad,Slightly higher fat mass
Rs5882(A;G),2,Good,Lower risk of dementia and Alzheimer's disease. Higher good cholesterol.
Rs5888(C;C),1.5,Good,higher HDL cholesterol but lower risk for age-related macular degeneration
Rs5918(C;T),2,Bad,"MI risk, aspirin resistance"
Rs599839(A;A),1.5,Bad,1.4x increased risk for heart disease
Rs599839(G;G),1.5,Good,moderately lower (0.64x) risk for abdominal aortic aneurysm
Rs6259(G;G),0,Good,"best inverse correlation between tea-drinking, soy-consuming premenopausal women and risk of endometrial cancer"
Rs6277(C;C),0,Bad,1.6x higher schizophrenia risk
Rs629242(T;T),2.1,Bad,somewhat higher risk for prostate cancer
Rs629242(C;T),2,Bad,somewhat higher risk for prostate cancer
Rs6314(C;C),0,Bad,higher risk for RA
Rs638405(G;G),2,Bad,2x increased ALZ risk in ApoE4 carriers
Rs642961(A;A),2,Bad,2.40x increased risk of cleft lip
Rs642961(A;G),1.5,Bad,1.68x increased risk of cleft lip
Rs642961(G;G),1,Good,Normal risk of cleft lip
Rs6495446(C;C),1,Bad,"normal, but increased risk for chronic kidney disease"
Rs6495446(C;T),1.4,Good,0.8x reduced risk for chronic kidney disease
Rs6495446(T;T),2,Good,0.64x reduced risk for chronic kidney disease
Rs6498169(A;G),1.5,Bad,1.14x risk of multiple sclerosis
Rs6505162(A;A),2.1,Good,0.43x decreased risk for esophageal cancer
Rs6505162(A;C),2,Good,0.58x decreased risk for esophageal cancer
Rs6601764(C;C),2,Bad,1.52x increased risk of developing Crohn's disease
Rs6601764(C;T),1.5,Bad,1.16x increased risk of developing Crohn's disease
Rs6603272(G;G),2,Bad,>2.74x increased risk of developing schizophrenia
Rs6603272(G;T),2,Bad,2.74x increased risk of developing schizophrenia
Rs6603272(T;T),1,Good,Normal risk of developing schizophrenia
Rs663048(G;G),1,Good,Normal risk of developing lung cancer
Rs663048(G;T),2,Bad,Significantly increased risk of developing lung cancer
Rs664143(C;T),2.5,Bad,Higher risk for number of cancers
Rs664143(T;T),2.5,Bad,Higher risk for number of cancers
Rs6710341(G;G),2,Bad,Increased risk of developing restless legs syndrome
Rs6710341(A;G),1.5,Bad,Slightly increased risk of developing restless legs syndrome
Rs6710341(A;A),1,Good,Normal risk of developing restless legs syndrome
Rs6855911(A;A),2,Bad,"normal, but increased risk of gout"
Rs6855911(A;G),2,Good,0.62x decreased risk for gout
Rs6855911(G;G),2,Good,"rare, but 0.62x decreased risk for gout"
Rs688034(C;T),1.1,Bad,1.1x risk higher risk for coronary artery disease
Rs6897876(C;T),1.1,Bad,slight increase in testicular cancer risk for men
Rs6897932(C;T),1.8,Good,0.91x decreased risk for multiple sclerosis
Rs6897932(T;T),2.1,Good,0.70x decreased risk for multiple sclerosis
Rs6908425(C;C),2,Bad,1.95x increased risk of developing Crohn's disease
Rs6920220(A;A),3.5,Bad,1.7x risk of Rheumatoid Arthritis
Rs6920220(A;G),3,Bad,1.2x risk Rheumatoid Arthritis
Rs6922269(A;A),2,Bad,1.6x risk of coronary artery disease
Rs699(C;T),2,Bad,increased risk of hypertension
Rs699473(C;C),1.5,Bad,~1.5x increased brain tumor risk
Rs699473(C;T),1.5,Bad,~1.5x increased brain tumor risk
Rs699473(T;T),1,Good,Normal brain tumor risk
Rs700651(A;A),1,Good,Normal risk of aneurysm
Rs700651(A;G),1.5,Bad,~1.11x increased risk of intracranial aneurysm
Rs700651(G;G),2,Bad,~1.23x increased risk of intracranial aneurysm
Rs7014851(C;T),0,Good,Very likely to be a benign allele
Rs7101429(A;G),1.8,Good,0.70x reduced risk for Alzheimer's risk
Rs7101429(G;G),2,Good,0.70x reduced risk for Alzheimer's risk
Rs710521(G;G),2,Good,Lower (0.83x) risk of developing bladder cancer.
Rs710521(A;A),2,Bad,1.4x increased risk of developing bladder cancer.
Rs7216389(T;T),2,Bad,1.5x increased risk for Childhood Asthma.
Rs729302(A;A),1,Bad,Normal risk of developing rheumatoid arthritis
Rs729302(A;C),1.5,Good,0.89x decreased risk of developing rheumatoid arthritis
Rs729302(C;C),1.5,Good,0.89x decreased risk of developing rheumatoid arthritis
Rs7305115(A;A),0,Good,Individuals showed a significantly lower risk of suicide behavior than those with the A/G or G/G genotype
Rs733618(A;G),1.8,Bad,1.87x risk for myasthenia gravis
Rs7341475(G;G),1.5,Bad,1.58x increased schizophrenia risk for women
Rs738409(C;C),3.1,Bad,"higher odds of alcoholic liver disease, increased liver fat"
Rs738409(C;G),2,Bad,"increased liver fat, odds of alcoholic liver disease"
Rs738409(G;G),2.1,Good,most common genotype; slightly less damage from alcohol
Rs7528684(G;G),1.2,Bad,1.2x risk of Rheumatoid Arthritis; various risks of autoimmune diseases
Rs7530511(T;T),2,Bad,9x increased risk for Graves disease
Rs7536563(A;A),2,Bad,>1.12x risk of multiple sclerosis
Rs7536563(A;G),1.5,Bad,1.12x risk of multiple sclerosis
Rs7538876(A;A),2.1,Bad,1.28x increased Basal Cell Carcinoma risk.
Rs7568369(G;T),1.1,Good,0.90x reduced risk of obesity
Rs7568369(T;T),1.1,Good,0.90x reduced risk of obesity
Rs7574865(G;T),2.5,Bad,1.3x risk of rheumatoid arthritis; 1.55x risk of SLE; 1.42x risk of Sjögren's syndrome; increased risk of type-1 diabetes; and increased risk of primary biliary cirrhosis.
Rs7574865(T;T),3.5,Bad,1.69x risk of rheumatoid arthritis; 2.4x risk of SLE; 2.28x risk of Sjögren's syndrome; increased risk of type-1 diabetes; and increased risk of primary biliary cirrhosis.
Rs761100(G;G),1,Bad,higher risk for dyslexia
Rs763110(C;T),2,Good,~0.80x reduced cancer risk
Rs763361(C;T),1.5,Bad,"Slightly increased risk for multiple autoimmune diseases, such as type-1 diabetes"
Rs763361(T;T),2,Bad,Increased risk for multiple autoimmune diseases
Rs7639618(C;T),2,Bad,1.45x increased osteoarthritis risk
Rs7639618(T;T),2,Bad,1.45x increased osteoarthritis risk
Rs7652331(T;T),0,Bad,somewhat higher risk for prostate cancer
Rs7794745(A;T),2,Bad,slightly increased risk for autism
Rs7807268(C;G),2,Bad,1.3x risk for Crohn's disease
Rs7837688(G;T),2.1,Bad,1.7x increased risk for prostate cancer
Rs7837688(T;T),2.1,Bad,1.7x increased risk for prostate cancer
Rs7923837(A;G),1.9,Bad,1.6x risk for T2D
Rs7997012(A;A),0,Good,~18% more likely to respond to citalopram
Rs800292(C;T),1,Good,1% decreased risk of macular degeneration
Rs801114(G;G),2.1,Bad,1.28x increased Basal Cell Carcinoma risk.
Rs801114(G;T),1.8,Bad,Normal (slightly higher) risk of Basal Cell Carcinoma.
Rs801114(T;T),2,Good,0.78x decreased Basal Cell Carcinoma risk.
Rs8034191(C;C),2.6,Bad,1.80x lung cancer risk; decreased response to alcohol
Rs8034191(C;T),2.5,Bad,1.27x lung cancer risk
Rs8055236(G;T),1.7,Bad,1.9x risk for heart disease
Rs807701(C;T),1.5,Bad,Slightly increased dyslexia risk
Rs807701(T;T),1,Good,Normal dyslexia risk
Rs8179183(C;G),1,Good,less likely to gain weight if taking risperidone
Rs8179183(G;G),1,Good,less likely to gain weight if taking risperidone
Rs828907(G;G),1,Good,Normal risk of developing bladder cancer
Rs828907(G;T),2,Bad,Slightly increased risk of bladder cancer and 2x risk of developing bladder cancer in smokers
Rs828907(T;T),2,Bad,Increased risk of bladder cancer and 2x risk of developing bladder cancer in smokers
Rs851715(A;A),1.2,Bad,risk of nonsense-word repetition problems if speech-impaired
Rs854560(A;T),2,Bad,"higher risk for heart disease, diabetic retinopathy"
Rs854560(T;T),1.8,Good,0.5x lower risk of ovarian cancer
Rs855791(T;T),0,Bad,0.2 g/dL lower hemoglobin on average
Rs915909(T;T),0,Good,CYP2E1_6498C>T(I321I) homozygote
Rs9332131(-;-),2.5,Bad,CYP2C9*6 homozygote
Rs9332739(C;G),2.1,Good,0.47x decreased risk for AMD
Rs9332964(A;G),2.5,Bad,carrier for mutations linked to micropenis
Rs9402571(G;G),1.8,Good,0.85x decreased risk for type-2 diabetes
Rs9402571(G;T),1.4,Good,slightly decreased risk for type-2 diabetes
Rs944289(C;T),2.1,Bad,1.3x increased thyroid cancer risk
Rs944289(T;T),2.2,Bad,1.69x increased thyroid cancer risk
Rs9561778(G;G),1,Good,Normal risk of adverse drug reactions from cyclophosphamide treatments
Rs9561778(G;T),1.5,Bad,~2x increased risk of adverse drug reactions from cyclophosphamide treatments
